"Uninsured adults ages 19–64"
"Uninsured adults"
time_period,state,population,cohort,point_estimate
2020,Colorado,income,"0%-199% FPL",20.3
2021,Colorado,income,"0%-199% FPL",20.4
2012,Connecticut,income,"0%-199% FPL",28.7
2013,Connecticut,income,"0%-199% FPL",27.8
2014,Connecticut,income,"0%-199% FPL",19.1
2015,Connecticut,income,"0%-199% FPL",18.2
2016,Connecticut,income,"0%-199% FPL",13.8
2017,Connecticut,income,"0%-199% FPL",15.8
2018,Connecticut,income,"0%-199% FPL",15.8
2019,Connecticut,income,"0%-199% FPL",16.2
2020,Connecticut,income,"0%-199% FPL",13.5
2021,Connecticut,income,"0%-199% FPL",13.2
2012,Delaware,income,"0%-199% FPL",22.7
2013,Delaware,income,"0%-199% FPL",25.8
2014,Delaware,income,"0%-199% FPL",18.1
2015,Delaware,income,"0%-199% FPL",15.2
2016,Delaware,income,"0%-199% FPL",14.9
2017,Delaware,income,"0%-199% FPL",14.1
2018,Delaware,income,"0%-199% FPL",11.4
2019,Delaware,income,"0%-199% FPL",19.5
2020,Delaware,income,"0%-199% FPL",18.8
2021,Delaware,income,"0%-199% FPL",14.5
2012,"District of Columbia",income,"0%-199% FPL",11.9
2013,"District of Columbia",income,"0%-199% FPL",12
2014,"District of Columbia",income,"0%-199% FPL",9.2
2015,"District of Columbia",income,"0%-199% FPL",8.6
2016,"District of Columbia",income,"0%-199% FPL",7.7
2017,"District of Columbia",income,"0%-199% FPL",7.8
2018,"District of Columbia",income,"0%-199% FPL",8.1
2019,"District of Columbia",income,"0%-199% FPL",9.7
2020,"District of Columbia",income,"0%-199% FPL",8.1
2021,"District of Columbia",income,"0%-199% FPL",10.2
2012,Florida,income,"0%-199% FPL",46.9
2013,Florida,income,"0%-199% FPL",45.9
2014,Florida,income,"0%-199% FPL",39
2015,Florida,income,"0%-199% FPL",32.6
2016,Florida,income,"0%-199% FPL",31.3
2017,Florida,income,"0%-199% FPL",31.5
2018,Florida,income,"0%-199% FPL",31.5
2019,Florida,income,"0%-199% FPL",32
2020,Florida,income,"0%-199% FPL",31.1
2021,Florida,income,"0%-199% FPL",30
2012,Georgia,income,"0%-199% FPL",46.2
2013,Georgia,income,"0%-199% FPL",46.3
2014,Georgia,income,"0%-199% FPL",39.7
2015,Georgia,income,"0%-199% FPL",37
2016,Georgia,income,"0%-199% FPL",35
2017,Georgia,income,"0%-199% FPL",35.5
2018,Georgia,income,"0%-199% FPL",35.9
2019,Georgia,income,"0%-199% FPL",36.1
2020,Georgia,income,"0%-199% FPL",34.7
2021,Georgia,income,"0%-199% FPL",34.6
2012,Hawaii,income,"0%-199% FPL",18.3
2013,Hawaii,income,"0%-199% FPL",21.1
2014,Hawaii,income,"0%-199% FPL",14.4
2015,Hawaii,income,"0%-199% FPL",12.6
2016,Hawaii,income,"0%-199% FPL",9.8
2017,Hawaii,income,"0%-199% FPL",11.6
2018,Hawaii,income,"0%-199% FPL",10.1
2019,Hawaii,income,"0%-199% FPL",11.8
2020,Hawaii,income,"0%-199% FPL",10.7
2021,Hawaii,income,"0%-199% FPL",11.2
2012,Idaho,income,"0%-199% FPL",41.8
2013,Idaho,income,"0%-199% FPL",37.5
2014,Idaho,income,"0%-199% FPL",33
2015,Idaho,income,"0%-199% FPL",29.4
2016,Idaho,income,"0%-199% FPL",27.4
2017,Idaho,income,"0%-199% FPL",27.5
2018,Idaho,income,"0%-199% FPL",26.1
2019,Idaho,income,"0%-199% FPL",28.4
2020,Idaho,income,"0%-199% FPL",20.6
2021,Idaho,income,"0%-199% FPL",18.4
2012,Illinois,income,"0%-199% FPL",38.2
2013,Illinois,income,"0%-199% FPL",36
2014,Illinois,income,"0%-199% FPL",28.3
2015,Illinois,income,"0%-199% FPL",20.8
2016,Illinois,income,"0%-199% FPL",19.3
2017,Illinois,income,"0%-199% FPL",19
2018,Illinois,income,"0%-199% FPL",19.8
2019,Illinois,income,"0%-199% FPL",20
2020,Illinois,income,"0%-199% FPL",20.8
2021,Illinois,income,"0%-199% FPL",18.7
2012,Indiana,income,"0%-199% FPL",38.5
2013,Indiana,income,"0%-199% FPL",37.5
2014,Indiana,income,"0%-199% FPL",32
2015,Indiana,income,"0%-199% FPL",24.9
2016,Indiana,income,"0%-199% FPL",20.7
2017,Indiana,income,"0%-199% FPL",20.8
2018,Indiana,income,"0%-199% FPL",20.2
2019,Indiana,income,"0%-199% FPL",20.6
2020,Indiana,income,"0%-199% FPL",17.5
2021,Indiana,income,"0%-199% FPL",16.7
2012,Iowa,income,"0%-199% FPL",25.1
2013,Iowa,income,"0%-199% FPL",25.7
2014,Iowa,income,"0%-199% FPL",17.1
2015,Iowa,income,"0%-199% FPL",14.1
2016,Iowa,income,"0%-199% FPL",10.9
2017,Iowa,income,"0%-199% FPL",11.7
2018,Iowa,income,"0%-199% FPL",13.5
2019,Iowa,income,"0%-199% FPL",13.1
2020,Iowa,income,"0%-199% FPL",14.1
2021,Iowa,income,"0%-199% FPL",13.8
2012,Kansas,income,"0%-199% FPL",37.3
2013,Kansas,income,"0%-199% FPL",37.3
2014,Kansas,income,"0%-199% FPL",31.9
2015,Kansas,income,"0%-199% FPL",27.8
2016,Kansas,income,"0%-199% FPL",26.7
2017,Kansas,income,"0%-199% FPL",26.1
2018,Kansas,income,"0%-199% FPL",26.2
2019,Kansas,income,"0%-199% FPL",28.1
2020,Kansas,income,"0%-199% FPL",28.1
2021,Kansas,income,"0%-199% FPL",27.4
2012,Kentucky,income,"0%-199% FPL",37.1
2013,Kentucky,income,"0%-199% FPL",37.5
2014,Kentucky,income,"0%-199% FPL",20.2
2015,Kentucky,income,"0%-199% FPL",12.9
2016,Kentucky,income,"0%-199% FPL",11
2017,Kentucky,income,"0%-199% FPL",11.8
2018,Kentucky,income,"0%-199% FPL",12.4
2019,Kentucky,income,"0%-199% FPL",14.2
2020,Kentucky,income,"0%-199% FPL",12.5
2021,Kentucky,income,"0%-199% FPL",12.2
2012,Louisiana,income,"0%-199% FPL",40.9
2013,Louisiana,income,"0%-199% FPL",41.8
2014,Louisiana,income,"0%-199% FPL",37.1
2015,Louisiana,income,"0%-199% FPL",31.5
2016,Louisiana,income,"0%-199% FPL",25.9
2017,Louisiana,income,"0%-199% FPL",19.7
2018,Louisiana,income,"0%-199% FPL",17.8
2019,Louisiana,income,"0%-199% FPL",19.3
2020,Louisiana,income,"0%-199% FPL",17.9
2021,Louisiana,income,"0%-199% FPL",15.4
2012,Maine,income,"0%-199% FPL",22.8
2013,Maine,income,"0%-199% FPL",26.1
2014,Maine,income,"0%-199% FPL",24.3
2015,Maine,income,"0%-199% FPL",20.2
2016,Maine,income,"0%-199% FPL",20
2017,Maine,income,"0%-199% FPL",23.1
2018,Maine,income,"0%-199% FPL",21.3
2019,Maine,income,"0%-199% FPL",20.3
2020,Maine,income,"0%-199% FPL",16.2
2021,Maine,income,"0%-199% FPL",14.9
2012,Maryland,income,"0%-199% FPL",31.8
2013,Maryland,income,"0%-199% FPL",29.6
2014,Maryland,income,"0%-199% FPL",24.1
2015,Maryland,income,"0%-199% FPL",20.2
2016,Maryland,income,"0%-199% FPL",18.1
2017,Maryland,income,"0%-199% FPL",17.5
2018,Maryland,income,"0%-199% FPL",18.1
2019,Maryland,income,"0%-199% FPL",18
2020,Maryland,income,"0%-199% FPL",16.6
2021,Maryland,income,"0%-199% FPL",17.4
2012,Massachusetts,income,"0%-199% FPL",11.2
2013,Massachusetts,income,"0%-199% FPL",10.6
2014,Massachusetts,income,"0%-199% FPL",8.5
2015,Massachusetts,income,"0%-199% FPL",8
