"Adults age 18 and older with a usual source of care
"
"Adults with a usual source of care"
2021,Delaware,all,All,84.8
2012,"District of Columbia",all,All,78.6
2013,"District of Columbia",all,All,76.1
2014,"District of Columbia",all,All,74.9
2015,"District of Columbia",all,All,79.9
2016,"District of Columbia",all,All,75.2
2017,"District of Columbia",all,All,73.8
2018,"District of Columbia",all,All,78
2019,"District of Columbia",all,All,76.5
2020,"District of Columbia",all,All,76.8
2021,"District of Columbia",all,All,85.5
2012,Florida,all,All,75.3
2013,Florida,all,All,73.2
2014,Florida,all,All,75.7
2015,Florida,all,All,77.8
2016,Florida,all,All,71.8
2017,Florida,all,All,72
2018,Florida,all,All,73.7
2019,Florida,all,All,71.8
2020,Florida,all,All,71.4
2021,Florida,all,All,
2012,Georgia,all,All,74.7
2013,Georgia,all,All,71.7
2014,Georgia,all,All,71.3
2015,Georgia,all,All,71.5
2016,Georgia,all,All,72.6
2017,Georgia,all,All,72.3
2018,Georgia,all,All,71.6
2019,Georgia,all,All,73.6
2020,Georgia,all,All,74.6
2021,Georgia,all,All,81
2012,Hawaii,all,All,84.7
2013,Hawaii,all,All,85
2014,Hawaii,all,All,84.6
2015,Hawaii,all,All,84.7
2016,Hawaii,all,All,84.6
2017,Hawaii,all,All,83.1
2018,Hawaii,all,All,84.9
2019,Hawaii,all,All,83.5
2020,Hawaii,all,All,85.4
2021,Hawaii,all,All,90
2012,Idaho,all,All,71.6
2013,Idaho,all,All,71.9
2014,Idaho,all,All,70.6
2015,Idaho,all,All,72.9
2016,Idaho,all,All,72.4
2017,Idaho,all,All,74.7
2018,Idaho,all,All,71.1
2019,Idaho,all,All,72
2020,Idaho,all,All,73.9
2021,Idaho,all,All,82.6
2012,Illinois,all,All,82.8
2013,Illinois,all,All,79.9
2014,Illinois,all,All,80.9
2015,Illinois,all,All,82.5
2016,Illinois,all,All,82.1
2017,Illinois,all,All,81.9
2018,Illinois,all,All,81.9
2019,Illinois,all,All,79.7
2020,Illinois,all,All,79.5
2021,Illinois,all,All,83.5
2012,Indiana,all,All,81.3
2013,Indiana,all,All,80.4
2014,Indiana,all,All,80.2
2015,Indiana,all,All,81.2
2016,Indiana,all,All,81.6
2017,Indiana,all,All,80.7
2018,Indiana,all,All,79.6
2019,Indiana,all,All,77.7
2020,Indiana,all,All,78.9
2021,Indiana,all,All,84.6
2012,Iowa,all,All,82.8
2013,Iowa,all,All,80.6
2014,Iowa,all,All,80.5
2015,Iowa,all,All,81.1
2016,Iowa,all,All,83.3
2017,Iowa,all,All,82.5
2018,Iowa,all,All,82.4
2019,Iowa,all,All,82.7
2020,Iowa,all,All,82.1
2021,Iowa,all,All,85.4
2012,Kansas,all,All,79.3
2013,Kansas,all,All,78.4
2014,Kansas,all,All,80.5
2015,Kansas,all,All,79.8
2016,Kansas,all,All,77.5
2017,Kansas,all,All,77.5
2018,Kansas,all,All,77.6
2019,Kansas,all,All,78.1
2020,Kansas,all,All,77.6
2021,Kansas,all,All,85.8
2012,Kentucky,all,All,81.4
2013,Kentucky,all,All,78.2
2014,Kentucky,all,All,79.4
2015,Kentucky,all,All,82.8
2016,Kentucky,all,All,79.7
2017,Kentucky,all,All,82.2
2018,Kentucky,all,All,81.1
2019,Kentucky,all,All,81.7
2020,Kentucky,all,All,79.6
2021,Kentucky,all,All,86.2
2012,Louisiana,all,All,76.9
2013,Louisiana,all,All,74.3
2014,Louisiana,all,All,74.5
2015,Louisiana,all,All,77.4
2016,Louisiana,all,All,75.3
2017,Louisiana,all,All,78.2
2018,Louisiana,all,All,76.6
2019,Louisiana,all,All,76.3
2020,Louisiana,all,All,78.3
2021,Louisiana,all,All,85.7
2012,Maine,all,All,88.2
2013,Maine,all,All,87.3
2014,Maine,all,All,87.9
2015,Maine,all,All,88.4
2016,Maine,all,All,88.1
2017,Maine,all,All,87.2
2018,Maine,all,All,85.3
2019,Maine,all,All,85.4
2020,Maine,all,All,86.2
2021,Maine,all,All,90.7
2012,Maryland,all,All,83.3
2013,Maryland,all,All,79.3
2014,Maryland,all,All,82.4
2015,Maryland,all,All,85.1
2016,Maryland,all,All,84.7
2017,Maryland,all,All,83
2018,Maryland,all,All,83.4
2019,Maryland,all,All,84.7
2020,Maryland,all,All,83.4
2021,Maryland,all,All,87.1
2012,Massachusetts,all,All,88.4
2013,Massachusetts,all,All,87.7
2014,Massachusetts,all,All,89.2
2015,Massachusetts,all,All,88.9
2016,Massachusetts,all,All,88.8
2017,Massachusetts,all,All,86.5
2018,Massachusetts,all,All,86.6
2019,Massachusetts,all,All,87.3
2020,Massachusetts,all,All,87.2
2021,Massachusetts,all,All,90.2
2012,Michigan,all,All,84.2
2013,Michigan,all,All,83
2014,Michigan,all,All,83.8
2015,Michigan,all,All,85.1
2016,Michigan,all,All,85.2
2017,Michigan,all,All,84.7
2018,Michigan,all,All,85
2019,Michigan,all,All,85.4
2020,Michigan,all,All,85.6
2021,Michigan,all,All,89
2012,Minnesota,all,All,75.8
2013,Minnesota,all,All,72.8
2014,Minnesota,all,All,75.8
2015,Minnesota,all,All,76.8
2016,Minnesota,all,All,72.7
2017,Minnesota,all,All,74.7
2018,Minnesota,all,All,75.7
2019,Minnesota,all,All,74.8
2020,Minnesota,all,All,76.6
2021,Minnesota,all,All,82.1
2012,Mississippi,all,All,74.8
2013,Mississippi,all,All,77.3
2014,Mississippi,all,All,73.4
2015,Mississippi,all,All,77.9
2016,Mississippi,all,All,77.4
2017,Mississippi,all,All,76.3
2018,Mississippi,all,All,73.8
2019,Mississippi,all,All,73.5
2020,Mississippi,all,All,76.1
2021,Mississippi,all,All,83.4
2012,Missouri,all,All,78.7
2013,Missouri,all,All,79.4
2014,Missouri,all,All,79
2015,Missouri,all,All,77.6
2016,Missouri,all,All,77.9
2017,Missouri,all,All,76.1
2018,Missouri,all,All,76.4
2019,Missouri,all,All,78.6
2020,Missouri,all,All,76.8
2021,Missouri,all,All,84
2012,Montana,all,All,72.6
2013,Montana,all,All,70.3
2014,Montana,all,All,70.9
2015,Montana,all,All,73.9
2016,Montana,all,All,73.6
2017,Montana,all,All,71.3
2018,Montana,all,All,72.8
2019,Montana,all,All,72.9
2020,Montana,all,All,72.7
2021,Montana,all,All,80.2
2012,Nebraska,all,All,82.7
2013,Nebraska,all,All,79.1
2014,Nebraska,all,All,79.8
2015,Nebraska,all,All,80.2
2016,Nebraska,all,All,81
2017,Nebraska,all,All,80
2018,Nebraska,all,All,77.6
2019,Nebraska,all,All,79.5
2020,Nebraska,all,All,79.5
2021,Nebraska,all,All,85.7
2012,Nevada,all,All,66.7
2013,Nevada,all,All,64.8
2014,Nevada,all,All,64.7
2015,Nevada,all,All,66.6
2016,Nevada,all,All,69
2017,Nevada,all,All,66.1
2018,Nevada,all,All,69.3
2019,Nevada,all,All,66.1
2020,Nevada,all,All,66.6
2021,Nevada,all,All,74.6
2012,"New Hampshire",all,All,87.5
2013,"New Hampshire",all,All,87.5
2014,"New Hampshire",all,All,84.7
2015,"New Hampshire",all,All,88.5
2016,"New Hampshire",all,All,87.9
2017,"New Hampshire",all,All,87
2018,"New Hampshire",all,All,86.2
2019,"New Hampshire",all,All,88.3
2020,"New Hampshire",all,All,87.9
2021,"New Hampshire",all,All,90.9
2012,"New Jersey",all,All,82.5
2013,"New Jersey",all,All,81.3
2014,"New Jersey",all,All,81.8
2015,"New Jersey",all,All,81.8
2016,"New Jersey",all,All,82.2
2017,"New Jersey",all,All,79.1
2018,"New Jersey",all,All,79.6
2019,"New Jersey",all,All,
2020,"New Jersey",all,All,80.9
2021,"New Jersey",all,All,84.6
2012,"New Mexico",all,All,70.4
2013,"New Mexico",all,All,68.8
2014,"New Mexico",all,All,69.3
2015,"New Mexico",all,All,70.7
2016,"New Mexico",all,All,70.2
2017,"New Mexico",all,All,71.5
2018,"New Mexico",all,All,68.8
2019,"New Mexico",all,All,69.8
2020,"New Mexico",all,All,70.8
2021,"New Mexico",all,All,74.1
2012,"New York",all,All,82.4
2013,"New York",all,All,81.3
2014,"New York",all,All,81.5
2015,"New York",all,All,82.9
2016,"New York",all,All,83.4
2017,"New York",all,All,82.9
2018,"New York",all,All,80.2
2019,"New York",all,All,79.1
2020,"New York",all,All,79.6
2021,"New York",all,All,86
2012,"North Carolina",all,All,75.3
2013,"North Carolina",all,All,73.4
2014,"North Carolina",all,All,76.2
2015,"North Carolina",all,All,78.2
2016,"North Carolina",all,All,78.7
2017,"North Carolina",all,All,78.6
2018,"North Carolina",all,All,77.8
2019,"North Carolina",all,All,75.8
2020,"North Carolina",all,All,77.1
2021,"North Carolina",all,All,83.3
2012,"North Dakota",all,All,73.6
2013,"North Dakota",all,All,73.2
2014,"North Dakota",all,All,70.9
2015,"North Dakota",all,All,73.5
2016,"North Dakota",all,All,74
2017,"North Dakota",all,All,71
2018,"North Dakota",all,All,72.8
2019,"North Dakota",all,All,69.4
2020,"North Dakota",all,All,68.9
2021,"North Dakota",all,All,82.4
2012,Ohio,all,All,81.1
2013,Ohio,all,All,80.6
2014,Ohio,all,All,80.1
2015,Ohio,all,All,81.9
2016,Ohio,all,All,82.5
2017,Ohio,all,All,81.2
2018,Ohio,all,All,79.6
2019,Ohio,all,All,79.6
2020,Ohio,all,All,79
2021,Ohio,all,All,86
2012,Oklahoma,all,All,75.9
2013,Oklahoma,all,All,73.9
2014,Oklahoma,all,All,75.2
2015,Oklahoma,all,All,74.7
2016,Oklahoma,all,All,75.3
2017,Oklahoma,all,All,75.1
2018,Oklahoma,all,All,75.9
2019,Oklahoma,all,All,75.5
2020,Oklahoma,all,All,75.4
2021,Oklahoma,all,All,79.5
2012,Oregon,all,All,77.8
2013,Oregon,all,All,74.4
2014,Oregon,all,All,77
2015,Oregon,all,All,78.5
2016,Oregon,all,All,78.5
2017,Oregon,all,All,76.6
2018,Oregon,all,All,75
2019,Oregon,all,All,75.5
2020,Oregon,all,All,77.9
2021,Oregon,all,All,77.8
2012,Pennsylvania,all,All,87
2013,Pennsylvania,all,All,85.7
2014,Pennsylvania,all,All,84.9
2015,Pennsylvania,all,All,86.8
2016,Pennsylvania,all,All,85.7
2017,Pennsylvania,all,All,85.5
2018,Pennsylvania,all,All,84.9
2019,Pennsylvania,all,All,83.7
2020,Pennsylvania,all,All,85
2021,Pennsylvania,all,All,89.3
2012,"Rhode Island",all,All,86.6
2013,"Rhode Island",all,All,84.3
2014,"Rhode Island",all,All,86.3
2015,"Rhode Island",all,All,88
2016,"Rhode Island",all,All,87
2017,"Rhode Island",all,All,87.8
2018,"Rhode Island",all,All,85.9
2019,"Rhode Island",all,All,85.5
2020,"Rhode Island",all,All,86.5
2021,"Rhode Island",all,All,90.2
2012,"South Carolina",all,All,77.6
2013,"South Carolina",all,All,76
2014,"South Carolina",all,All,76.6
2015,"South Carolina",all,All,78.1
2016,"South Carolina",all,All,78.4
2017,"South Carolina",all,All,77.4
2018,"South Carolina",all,All,76
2019,"South Carolina",all,All,75
2020,"South Carolina",all,All,77.3
2021,"South Carolina",all,All,83.8
2012,"South Dakota",all,All,76.2
2013,"South Dakota",all,All,76.2
2014,"South Dakota",all,All,75.5
2015,"South Dakota",all,All,79
2016,"South Dakota",all,All,76.1
2017,"South Dakota",all,All,75.8
2018,"South Dakota",all,All,74.6
2019,"South Dakota",all,All,75.6
2020,"South Dakota",all,All,77.5
2021,"South Dakota",all,All,83.3
2012,Tennessee,all,All,78.8
2013,Tennessee,all,All,77.3
2014,Tennessee,all,All,75.7
2015,Tennessee,all,All,77.6
2016,Tennessee,all,All,78
2017,Tennessee,all,All,77.3
2018,Tennessee,all,All,76.2
2019,Tennessee,all,All,74.1
2020,Tennessee,all,All,76.9
2021,Tennessee,all,All,82.6
2012,Texas,all,All,66.9
2013,Texas,all,All,66.7
2014,Texas,all,All,67
2015,Texas,all,All,66.5
2016,Texas,all,All,68.7
2017,Texas,all,All,67.5
2018,Texas,all,All,67.9
2019,Texas,all,All,67.9
2020,Texas,all,All,66.7
2021,Texas,all,All,74.1
2012,Utah,all,All,73.7
2013,Utah,all,All,71.6
2014,Utah,all,All,71
2015,Utah,all,All,73.8
2016,Utah,all,All,72.7
2017,Utah,all,All,71
2018,Utah,all,All,72.4
2019,Utah,all,All,72.8
2020,Utah,all,All,73.6
2021,Utah,all,All,80.1
2012,Vermont,all,All,87.6
2013,Vermont,all,All,86.8
2014,Vermont,all,All,86.6
2015,Vermont,all,All,87.9
2016,Vermont,all,All,88.1
2017,Vermont,all,All,87.3
2018,Vermont,all,All,85.5
2019,Vermont,all,All,86
2020,Vermont,all,All,84.9
2021,Vermont,all,All,90.2
2012,Virginia,all,All,77.4
2013,Virginia,all,All,76.4
2014,Virginia,all,All,75.8
2015,Virginia,all,All,78.6
2016,Virginia,all,All,77.8
2017,Virginia,all,All,76.7
2018,Virginia,all,All,77.7
2019,Virginia,all,All,78.1
2020,Virginia,all,All,76.2
2021,Virginia,all,All,84
2012,Washington,all,All,76.1
2013,Washington,all,All,72.5
2014,Washington,all,All,74.7
2015,Washington,all,All,77
2016,Washington,all,All,75.6
2017,Washington,all,All,75.7
2018,Washington,all,All,75.8
2019,Washington,all,All,75.6
2020,Washington,all,All,75.2
2021,Washington,all,All,83.8
2012,"West Virginia",all,All,76.1
2013,"West Virginia",all,All,76.7
2014,"West Virginia",all,All,77.1
2015,"West Virginia",all,All,79.1
2016,"West Virginia",all,All,80.4
2017,"West Virginia",all,All,80.7
2018,"West Virginia",all,All,81.3
2019,"West Virginia",all,All,81.8
2020,"West Virginia",all,All,81.7
2021,"West Virginia",all,All,87.3
2012,Wisconsin,all,All,82.3
2013,Wisconsin,all,All,80.7
2014,Wisconsin,all,All,81.1
2015,Wisconsin,all,All,80.5
2016,Wisconsin,all,All,82.9
2017,Wisconsin,all,All,82.3
2018,Wisconsin,all,All,82.6
2019,Wisconsin,all,All,82.3
2020,Wisconsin,all,All,82.7
2021,Wisconsin,all,All,86.7
2012,Wyoming,all,All,67.9
2013,Wyoming,all,All,69.2
2014,Wyoming,all,All,69.5
2015,Wyoming,all,All,69.3
2016,Wyoming,all,All,68.9
2017,Wyoming,all,All,68.3
2018,Wyoming,all,All,67.9
2019,Wyoming,all,All,67
2020,Wyoming,all,All,69.9
2021,Wyoming,all,All,75.2
